Unnamed: 0,What was the purpose of your journey?,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
en,,,Business / Professional reason,Very satisfied,,Website luxair.lu,No,Satisfied,,,Satisfied,,Yes,Very satisfied,,Satisfied,,Satisfied,,,,10,,,very good level of service,BER,LUX,FLEX,Single
fr,Leisure / Holiday,,,Very satisfied,,Website luxair.lu,Yes,Very satisfied,Very satisfied,,Very satisfied,,No,,,Satisfied,,Satisfied,,Neutral,Ben moins d attente mais je pense que cela est difficile ,10,,,Accueil du personnel de bord chaleureux   Déjeuner super bon rien à dire ,FCO,LUX,SMART,Mini Group
fr,Leisure / Holiday,,,Very satisfied,,Website luxair.lu,Yes,Very satisfied,Very satisfied,,Very satisfied,,No,,,Very satisfied,,Very satisfied,,Very satisfied,,10,,,J’adore voyager avec luxair . 3 fois par an. Tout simplement ,LUX,LPA,SMART,Couple
en,,,Business / Professional reason,Very satisfied,,Website luxair.lu,Yes,Very satisfied,Very satisfied,,Very satisfied,,Yes,,,Very satisfied,,Very satisfied,,Very satisfied,,10,,,Luxair: a most costumer-friendly carrier in Europe! ,LUX,,,
en,Leisure / Holiday,"Visiting family, friends or relatives",,Very unsatisfied,,Website luxair.lu,Yes,Very unsatisfied,Very unsatisfied,,Very unsatisfied,,No,,,Very unsatisfied,,Very unsatisfied,,Very unsatisfied,,10,,,,LUX,VXE,SMART,Couple
fr,Leisure / Holiday,"Visiting family, friends or relatives",,Satisfied,,Website luxair.lu,No,Very satisfied,,,Satisfied,,No,,,Very satisfied,,Very satisfied,,,,10,,,Le service dans l’ensemble ,FNC,LUX,SMART,Couple
en,,,Business / Professional reason,Very satisfied,,Mobile App,No,Very satisfied,,,Very satisfied,,No,,,Very satisfied,,Very satisfied,,,,10,,,,MUC,LUX,,Single
fr,,"Visiting family, friends or relatives",,Satisfied,,Mobile App,Yes,Very satisfied,Very satisfied,,Neutral,,Yes,Satisfied,,Very satisfied,,Satisfied,,Very satisfied,,10,,,Revoir la qualité des croissants sur les vols du matin. Croissant froid et sec,BER,LUX,SMART,Couple
fr,Leisure / Holiday,,,Very satisfied,,Website luxair.lu,Yes,Very satisfied,Very satisfied,,Very satisfied,,No,,,Very satisfied,,Very satisfied,,Very satisfied,,10,,,La gentillesse. Avion propre. Vol agréable.  Service à bord top. Check inn au comptoir top,LUX,VXE,SMART,Couple
fr,,"Visiting family, friends or relatives",,Very satisfied,,Website luxair.lu,Yes,Very satisfied,Very satisfied,,Satisfied,,No,,,Very satisfied,,Very satisfied,,Very satisfied,,10,,,,NCE,LUX,FLEX,Couple
fr,,"Visiting family, friends or relatives",,Very satisfied,,Website luxair.lu,No,Very satisfied,,,Very satisfied,,No,,,Very satisfied,,Very satisfied,,,,10,,,Embarquement rapide et hôtesses de bord très agréables.,LUX,OPO,SMART,Couple
en,Leisure / Holiday,,,Very satisfied,,Website luxair.lu,No,Very satisfied,,,Satisfied,,No,,,Satisfied,,Very satisfied,,,,10,,,"Specials, friendliness, ",LUX,BOD,SMART,Single
en,,"Visiting family, friends or relatives",,Very satisfied,,Website luxair.lu,No,Very satisfied,,,Very satisfied,,No,,,Very satisfied,,Very satisfied,,,,10,,,,VIE,LUX,NONE,Family
fr,,"Visiting family, friends or relatives",,Very unsatisfied,Tour était parfait 👍 malgré un retard ,Website luxair.lu,No,Satisfied,,,Very satisfied,,Yes,Very satisfied,,Very satisfied,,Very satisfied,,,,10,,,Organisation parfaite bec le sens du détail aéroport à taille « humaine » personnel tres pro et sympathique ,LUX,MPL,LIGHT,Couple
fr,,"Visiting family, friends or relatives",,Very satisfied,,Website luxair.lu,No,Satisfied,,,Very satisfied,,No,,,Very satisfied,,Very satisfied,,,,10,,,,LUX,BCN,LIGHT,Single
en,Leisure / Holiday,,,Very satisfied,,Website luxair.lu,No,Very satisfied,,,Very satisfied,,No,,,Very satisfied,,Very satisfied,,,,10,,,-,OTP,LUX,SMART,Couple
en,,"Visiting family, friends or relatives",,Very unsatisfied,You are just perfect 👌,Website luxair.lu,Yes,Very unsatisfied,Very satisfied,"No, the personnel was very kind",Very satisfied,,No,,,Very satisfied,,Very satisfied,,Satisfied,,10,,,Good service and trustworthy. ,LUX,ARN,SMART,Single
fr,Leisure / Holiday,,,Very satisfied,,Website luxair.lu,Yes,Very satisfied,Very satisfied,,Very satisfied,,No,,,Satisfied,,Very satisfied,,Unsatisfied,Pour la premiere fois on a du attendre bcp de temps à l'aeroport de Lisbonne pour recuperer les bagages   Je ne sais pas la raison ,10,,,,LUX,LIS,STAFF/ZED,Couple
de,,"Visiting family, friends or relatives",,Very satisfied,Eigentlich ist die Kommunikation schon gut,Mobile App,Yes,Very satisfied,Very satisfied,Manchmal mehrere Schalter öffnen,Very satisfied,Nichts,No,,,Very satisfied,,Very satisfied,,Very satisfied,,10,,,Klappt alles gut,LUX,,,
en,Leisure / Holiday,,,Very satisfied,,Website luxair.lu,Yes,Very satisfied,Very satisfied,,Very satisfied,,Yes,Very satisfied,,Very satisfied,,Very satisfied,,Very satisfied,,10,,,,LUX,OSL,BUSINESS,Couple
fr,,"Visiting family, friends or relatives",,Very unsatisfied,,Mobile App,Yes,Very unsatisfied,Very unsatisfied,,Very satisfied,,Yes,Neutral,Tout était bien mais vous aurait pu offrir des salades et d’une manière générale plus de légumes et des fruits.,Very unsatisfied,,Very unsatisfied,,Very satisfied,,10,,,,LUX,CPH,FLEX,Single
fr,Leisure / Holiday,,,Very unsatisfied,Tout était parfait ,Website luxair.lu,Yes,Very unsatisfied,Very unsatisfied,Tout était parfait ,Very unsatisfied,,Yes,Very unsatisfied,Tout était parfait ,Very unsatisfied,Tout était parfait ,Very unsatisfied,Tout était parfait ,Very unsatisfied,Tout était parfait ,10,,,L’accessibilité à l’aéroport est très bien et j’adore voyager avec Luxair ,PRG,LUX,SMART,Single
fr,Leisure / Holiday,,,Very satisfied,,Check-In counter at the airport,Yes,,Neutral,Sympathie de la dame,Satisfied,,No,,,Satisfied,,Very satisfied,,Unsatisfied,Maxi cosi cassé,10,,,,LUX,FUE,STAFF/ZED,Family
en,,"Visiting family, friends or relatives",,Very satisfied,,Mobile App,No,Very satisfied,,,Very satisfied,,No,,,Very satisfied,,Very satisfied,,,,10,,,"Flight was on time, service on board was fantastic, and as a seamless check in process and fast security. All in all - very pleasant trip!! ",LUX,CPH,LIGHT,Single
en,Leisure / Holiday,,,Very unsatisfied,Everything was fine,Website luxair.lu,Yes,Very unsatisfied,Very unsatisfied,Not at all,Very unsatisfied,Nothing everything was fine,No,,,Very unsatisfied,No,Very unsatisfied,Not for me,Satisfied,,10,,,,LUX,,,
en,Leisure / Holiday,,,Very satisfied,,Website luxair.lu,No,Satisfied,,,Very satisfied,,No,,,Very unsatisfied,,Very satisfied,,,,10,,,"Easy process, friendly staff",LCY,LUX,LIGHT,Mini Group
en,,"Visiting family, friends or relatives",,Very satisfied,,Self-service terminal at the airport,Yes,Satisfied,Satisfied,,Very satisfied,,No,,,Very satisfied,,Very satisfied,,Very satisfied,,10,,,,DWC,,,
en,Leisure / Holiday,,,Very satisfied,,Website luxair.lu,Yes,Very satisfied,Very satisfied,,Very satisfied,,Yes,Very satisfied,,Very satisfied,,Very satisfied,,Very satisfied,,10,,,,LUX,GVA,REDEMPTIONS M,
en,,"Visiting family, friends or relatives",,Very satisfied,,Check-In counter at the airport,Yes,,Very satisfied,,Very satisfied,,Yes,Very satisfied,,Very satisfied,,Very satisfied,,Very satisfied,,10,,,,LUX,,,
en,,"Visiting family, friends or relatives",,Very satisfied,,Website luxair.lu,No,Very satisfied,,,Very satisfied,,No,,,Very satisfied,,Very satisfied,,,,10,,,You’re very nice and friendly.,LUX,LJU,LIGHT,Single
en,Leisure / Holiday,,,Very satisfied,,Mobile App,Yes,Very satisfied,Very satisfied,,Very satisfied,,Yes,Very satisfied,,Very satisfied,,Very satisfied,,Very satisfied,,10,,,,LUX,LIS,LIGHT,Couple
de,Leisure / Holiday,,,Very satisfied,,Mobile App,No,Very satisfied,,,Satisfied,,Yes,Very satisfied,,Satisfied,,Satisfied,,,,10,,,"Flugplan, Preis-Leistung ",LUX,BER,LIGHT,Single
fr,,"Visiting family, friends or relatives",,Very unsatisfied,,Website luxair.lu,Yes,Very unsatisfied,Very unsatisfied,,Very unsatisfied,,No,,,Very satisfied,,Very satisfied,,Very satisfied,,10,,,,LUX,VXE,SMART,Single
en,Leisure / Holiday,,,Very satisfied,,Website luxair.lu,Yes,Very satisfied,Very satisfied,,Very satisfied,,No,,,Very satisfied,,Very satisfied,,Very satisfied,,10,,,The staff on board was amazing to us! They really deserve a lot of praise! ,LUX,,,
fr,,"Visiting family, friends or relatives",,Satisfied,,Website luxair.lu,Yes,Very satisfied,Very satisfied,,Very satisfied,,No,,,Very satisfied,,Very satisfied,,Very satisfied,,10,,,,LUX,DWC,SMART,Couple
de,Leisure / Holiday,,,Very satisfied,,Mobile App,Yes,Very satisfied,Very satisfied,,Satisfied,,No,,,Very satisfied,,Very satisfied,,Very satisfied,,10,,,"Sehr pünktlich, sehr guter Service an Bord, insgesamt reibungsloser Kontakt ab Buchung bis zur Landung",LUX,PMI,SMART,Couple
en,Leisure / Holiday,,,Very satisfied,,Website luxair.lu,Yes,Very satisfied,Very satisfied,,Very satisfied,,Yes,Very satisfied,,Very satisfied,,Very satisfied,,Very satisfied,,10,,,Until now I never had a negative experience with your company,LUX,,,
fr,Leisure / Holiday,,,Very satisfied,,Check-In counter at the airport,Yes,,Very satisfied,,Satisfied,,No,,,Very satisfied,,Very satisfied,,Satisfied,,10,,,,LUX,FCO,SMART,Couple
de,Leisure / Holiday,,,Very satisfied,,Website luxair.lu,No,Very satisfied,,,Very satisfied,,Yes,Neutral,"Frisches Obst/tuttifrutti, croissants",Very satisfied,,Very satisfied,,,,10,,,Alles hat geklappt,LUX,VIE,LIGHT,Single
en,,"Visiting family, friends or relatives",,Unsatisfied,Delayed flight,Website luxair.lu,Yes,Satisfied,Satisfied,,Satisfied,,No,,,Satisfied,,Very unsatisfied,Delayed flight,Satisfied,,2,Delayed flights,,,MAD,LUX,LIGHT,Single
en,,,Business / Professional reason,Very unsatisfied,5 Hours delay. Luxair did not communicate properly with passengers.  I am a FT miles and more with over 35 segments per year.,Website luxair.lu,No,Neutral,,Communicate properly the delay ,Neutral,,Yes,Unsatisfied,Variety and quantity of food is really poor.   Lounge is too small in terms of space.,Neutral,,Unsatisfied,Due of the 5 hours e delay you should provide a financial compensation or a voucher.,,,3,Luxair ticket Prices are too expensive. And flight has 5 hours delay and no compensation so far (I hope you will provide a compensation as soon as possible).  How could I recommend you? ,,,FCO,LUX,SMART,Single
fr,,"Visiting family, friends or relatives",,Neutral,Non,Website luxair.lu,Yes,Very unsatisfied,Very unsatisfied,Non,Neutral,,No,,,Neutral,Non,Neutral,Ne pas mettre un vol à 7h du matin ,Very unsatisfied,Non,4,Les horaires de vols pour Rome ne sont pas pratiques . ,,,LUX,FCO,SMART,Single
en,,,Business / Professional reason,Satisfied,,Website luxair.lu,No,Satisfied,,,Satisfied,,No,,,Unsatisfied,"always confusing, delayed and no order",Very unsatisfied,old plane. glue tape in the window ( i have pictures to prove it). horrible leg space and flight too long for the usual flight time,,,4,better boarding and planes at minimum condition,,,LUX,,,
